graph,q,mode,pull_frontier_ratio,pull_edge_ratio,profile_levels,wall_time_ms,gpu_time_ms,level_modes,validation_errors,notes
chesapeake,3,push,0.15,0.20,false,0.633,0.609,"push,push,push,push",0,"smoke validation"
chesapeake,3,pull,0.15,0.20,true,0.793,0.770,"pull,pull,pull,pull",0,"smoke validation"
chesapeake,3,hybrid,0.15,0.20,false,0.480,0.461,"push,pull,pull,push",0,"default hybrid smoke validation"
chesapeake,3,hybrid,0.01,0.01,true,0.538,0.519,"pull,pull,pull,pull",0,"forced pull smoke validation"
chesapeake,3,hybrid,0.30,1.00,true,1.335,1.317,"push,push,pull,push",0,"conversion smoke validation"
