dataset,q,push_wall_ms_median,hybrid_wall_ms_median,speedup_push_over_hybrid,v22_total_wall_ms_median,speedup_hybrid_vs_v22_total,v22_batch_wall_ms_median,speedup_hybrid_vs_v22_batch,improved_vs_push,improved_vs_v22_total
soc-orkut,2,89.43599700927734,8.741000175476074,10.231780713172936,116.7627,13.358048010065458,114.9565,13.151412617805944,True,True
soc-orkut,4,227.38999938964844,36.04600143432617,6.308327979288923,217.1151,6.0232783487947135,213.8796,5.9335180460911,True,True
soc-orkut,8,526.093994140625,95.1989974975586,5.526255611611003,407.5343,4.2808675586153235,402.7494,4.230605474709212,True,True
soc-orkut,16,1143.4239501953125,310.2749938964844,3.68519530315997,800.6932,2.580592106198322,789.2785,2.543803127954692,True,True
soc-twitter,2,198.79600524902344,44.70100021362305,4.447238412988319,343.8939,7.693203694694847,341.9453,7.6496118289493875,True,True
soc-twitter,4,425.68798828125,136.56300354003906,3.1171545531835205,651.8546,4.7732883951170715,644.7571,4.721316046706332,True,True
soc-twitter,8,931.9169921875,331.52899169921875,2.810966809904173,1287.6156,3.883870286578724,1278.828,3.857364007429621,True,True
soc-sinaweibo,2,408.375,138.8070068359375,2.942034478725397,502.3428,3.6190017453062904,499.7055,3.600001983982158,True,True
soc-sinaweibo,4,877.5590209960938,254.87399291992188,3.443109322149677,957.7993,3.7579326514530975,952.4669,3.737010940536616,True,True
